,"類型‘,‘書名",作者,優惠價
1,,李美芮,256
2,,"公視,客委會,黃國華",385
3,,知寒,266
4,,"艾略特‧阿克曼,詹姆斯‧史塔萊迪",277
5,,布蘭登．山德森,175
6,,米田瑪麗娜,266
7,,黃文逸,239
8,,周品均,250
9,,史考特．蓋洛威,243
10,,小朋友學投資,294
11,,幾米,510
12,,ingectar-e,315
13,,鍾孟宏,441
14,,ARENSKI,311
15,,"mintcrown,門嶋淳矢",294
16,,廖運潘,247
17,,"渡邊信一郎,丸橋充拓,古松崇志,檀上寬,岡本隆司",1138
18,,"翁佳音,曹銘宗",392
19,,龐維德,246
20,,"楊海彥,謝宜安,阮宗憲,臺北地方異聞工作室",392
21,,凱蒂．馬頓,351
22,,US Taiwan Watch：美國台灣觀測站,254
23,,詹姆斯．舒茲曼,345
24,,羅格．布雷格曼,370
25,,雷丘律師,202
26,,"芭芭拉．歐克莉,貝絲．羅戈沃斯基,泰倫斯．索諾斯基",294
27,,侯東政,99
28,,芭芭拉‧歐克莉,231
29,,華特．艾薩克森,420
30,,朱梓忠,196
31,,賴佩霞,255
32,,莎拉．奈特,213
33,,"山田弘美,濱田真由美",202
34,,李崇建,382
35,,蘇菲．莫特,283
36,,黃烟輝,208
37,,樓中亮,234
38,,胡塗醫,616
39,,"講糖,林冠怡",195
40,,一徹,222
41,,孫榮KaiSon,435
42,,林姓主婦,560
43,,貝蒂做便當,315
44,,Allen鄭亦倫,385
45,,梶晶子,209
46,,"潘慧如,張家慧,楊承樺,蔡在峰",294
47,,"Sharky,Bamtol,DT GoodNote",300
48,,宮田徹（Miyata Toru）,190
49,,麥可．馬修斯,294
50,,ぴょこぴょこぴ,203
51,,吳駿聲,293
52,,謝金河,228
53,,蔡適任,308
54,,凱南Kenan,203
55,,"喬許・弗爾,狄倫・圖拉斯,艾拉・莫頓",1386
56,,大耕老師,277
57,,喬‧維泰利,197
58,,詹姆斯‧艾倫,240
59,,LUA,210
60,,巴特・葉爾曼,364
61,,胡展誥,228
62,,藍偉瑩,250
63,,汪培珽,256
64,,西岡壱誠,266
65,,王意中,197
66,,J.K. 羅琳,280
67,,廣嶋玲子,190
68,,"陳建仁,胡妙芬",298
69,,廣嶋玲子,190
70,,柴田啓子,210
71,,閃亮亮 Iris,198
72,,"許玲玲,達文西",299
73,,閃亮亮 Iris,119
74,,Wankling,156
75,,Wankling,156
76,,護玄,155
77,,羽宸寰,138
78,,伏瀬,240
79,,柳孝真,160
80,,"安里アサト,I-IV",180
81,,穀子,185
82,,エヌオカ ヨチ,89
83,,左京亞也,80
84,,左京亞也,80
85,,寶總監,245
86,,游皓雲,234
87,,郭修蓉,192
88,,國立臺灣師範大學國語教學中心,585
89,,王可樂日語,285
90,,楊智民,394
91,,張凡,280
92,,學研Plus,252
93,,艾育,392
94,,張逸,210
95,,大碩研究所師資群,315
96,,文淵閣工作室,880
97,,"李秉鴻,周廷諺,何松穎",460
98,,文淵閣工作室,390
99,,青木俊直,315
100,,久保田麻美,228
101,,"鈕文英,吳裕益",525
102,,胡耀恆,855
103,,張芳全,280
104,,施淑娟,252
105,,,302
